timestamp,open,high,low,close
1784865900,1878.78,1879.47,1878.67,1879.05
1784865960,1879.0,1879.16,1878.5,1878.81
1784866020,1878.81,1879.62,1878.8,1879.54
1784866080,1879.54,1879.54,1878.59,1878.74
1784866140,1878.75,1878.75,1878.34,1878.7
1784866200,1878.74,1878.74,1877.92,1877.92
1784866260,1877.92,1878.2,1877.92,1878.2
1784866320,1878.21,1878.65,1878.16,1878.21
1784866380,1878.21,1878.57,1877.97,1878.1
1784866440,1878.11,1878.31,1877.8,1877.8
1784866500,1877.8,1877.8,1877.0,1877.0
1784866560,1876.96,1877.4,1876.83,1876.84
1784866620,1876.84,1877.21,1876.84,1877.2
1784866680,1877.21,1877.77,1877.21,1877.61
1784866740,1877.55,1877.9,1877.34,1877.9
1784866800,1877.96,1877.96,1876.89,1876.89
1784866860,1876.84,1876.88,1876.3,1876.88
1784866920,1876.88,1877.88,1876.88,1877.88
1784866980,1877.88,1880.69,1877.88,1880.59
1784867040,1880.59,1880.69,1879.31,1879.41
1784867100,1879.41,1879.6,1879.28,1879.6
1784867160,1879.67,1879.67,1878.4,1878.4
1784867220,1878.37,1879.51,1878.37,1879.1
1784867280,1879.15,1879.15,1879.05,1879.05
1784867340,1879.05,1879.05,1878.91,1878.91
1784867400,1878.9,1878.9,1878.06,1878.31
1784867460,1878.32,1878.87,1878.32,1878.86
1784867520,1878.83,1879.03,1878.83,1879.0
1784867580,1879.0,1879.74,1879.0,1879.3
1784867640,1879.28,1879.28,1878.21,1878.48
1784867700,1878.43,1878.43,1877.3,1877.3
1784867760,1877.21,1878.33,1877.21,1877.82
1784867820,1877.96,1878.19,1876.91,1876.91
1784867880,1876.92,1876.92,1876.37,1876.47
1784867940,1876.5,1876.62,1876.12,1876.12
1784868000,1876.11,1876.11,1875.12,1875.12
1784868060,1875.12,1875.3,1874.33,1874.33
1784868120,1874.3,1874.51,1873.87,1874.5
1784868180,1874.5,1875.53,1874.5,1875.23
1784868240,1875.22,1875.49,1875.17,1875.49
1784868300,1875.49,1875.61,1874.76,1875.61
1784868360,1875.65,1876.07,1875.0,1875.0
1784868420,1875.01,1875.39,1875.0,1875.0
1784868480,1874.97,1874.97,1874.75,1874.75
1784868540,1874.74,1875.04,1874.74,1875.04
1784868600,1875.09,1875.7,1874.88,1874.88
1784868660,1874.88,1874.91,1874.78,1874.9
1784868720,1874.91,1875.1,1874.9,1875.1
1784868780,1875.15,1875.44,1875.15,1875.26
1784868840,1875.33,1875.92,1875.33,1875.5
1784868900,1875.41,1875.41,1875.0,1875.0
1784868960,1874.97,1874.97,1874.46,1874.46
1784869020,1874.46,1874.46,1873.8,1874.46
1784869080,1874.46,1874.46,1873.68,1873.69
1784869140,1873.69,1874.95,1873.69,1874.95
1784869200,1874.95,1874.95,1873.7,1873.7
1784869260,1873.69,1873.69,1873.08,1873.22
1784869320,1873.14,1874.59,1872.19,1874.32
1784869380,1874.32,1874.34,1873.86,1874.1
1784869440,1874.1,1875.22,1873.93,1874.18
1784869500,1874.18,1874.8,1874.13,1874.8
1784869560,1874.89,1877.2,1874.89,1876.93
1784869620,1876.93,1879.8,1876.93,1879.59
1784869680,1879.59,1880.31,1878.28,1880.0
1784869740,1879.91,1880.02,1879.2,1879.2
1784869800,1879.18,1879.18,1878.19,1878.19
1784869860,1878.18,1878.5,1877.97,1878.49
1784869920,1878.49,1878.52,1878.33,1878.52
1784869980,1878.52,1878.89,1878.52,1878.67
1784870040,1878.67,1878.67,1878.6,1878.6
1784870100,1878.59,1878.6,1878.38,1878.38
1784870160,1878.39,1878.57,1878.39,1878.57
1784870220,1878.56,1879.72,1878.56,1879.72
1784870280,1879.65,1879.84,1879.44,1879.7
1784870340,1879.72,1879.84,1879.55,1879.84
1784870400,1879.83,1879.83,1879.51,1879.51
1784870460,1879.5,1880.29,1879.09,1879.35
1784870520,1879.35,1879.39,1878.61,1878.99
1784870580,1878.99,1879.19,1878.88,1878.9
1784870640,1878.9,1879.0,1878.63,1879.0
1784870700,1878.99,1878.99,1878.6,1878.61
1784870760,1878.61,1879.27,1878.61,1878.94
1784870820,1878.95,1878.95,1878.8,1878.8
1784870880,1878.73,1878.81,1878.73,1878.8
1784870940,1878.8,1878.81,1878.8,1878.81
1784871000,1878.81,1878.81,1878.61,1878.61
1784871060,1878.6,1878.6,1878.5,1878.5
